"autoservicio","comuna","direccion","empresa","precio","region","tipoGasolina","ultimaModificacion"
"false","","RUTA A-16 KM 32 / AVDA SANTA ROSA 0,Alto Hospicio","COPEC","652.0","Tarapacá","Petroleo Diesel","Thu Jun 24 08:21:53 PET 2021"
"false","","ALTO HOSPICIO, RUTA A 16 KM. 37,Alto Hospicio","COPEC","652.0","Tarapacá","Petroleo Diesel","Wed Jun 23 23:46:10 PET 2021"
"true","","AVDA. SALVADOR ALLENDE 2345,Iquique","COPEC","654.0","Tarapacá","Petroleo Diesel","Thu Jun 24 16:11:54 PET 2021"
"true","","MANUEL RODRIGUEZ 1404,Iquique","COPEC","654.0","Tarapacá","Petroleo Diesel","Thu Jun 24 00:20:00 PET 2021"
"true","","Genaro Gallo 2361,Iquique","SHELL","654.0","Tarapacá","Petroleo Diesel","Thu Jun 24 10:03:47 PET 2021"
"false","","Teniente Merino Correa 3945,Alto Hospicio","COPEC","654.0","Tarapacá","Petroleo Diesel","Wed Jun 23 23:38:37 PET 2021"
"false","","Av. Los aromos 3115,Alto Hospicio","PETROBRAS","655.0","Tarapacá","Petroleo Diesel","Thu Jun 24 07:14:40 PET 2021"
"false","","PANAMERICANA NORTE KM 1810,Pozo Almonte","COPEC","655.0","Tarapacá","Petroleo Diesel","Thu Jun 24 07:16:50 PET 2021"
"false","","Calle Comercio 53,Pozo Almonte","PETROBRAS","655.0","Tarapacá","Petroleo Diesel","Thu Jun 24 10:18:44 PET 2021"
"false","","AV. 27 DE ABRIL 00,Pica","COPEC","655.0","Tarapacá","Petroleo Diesel","Thu Jun 24 08:42:12 PET 2021"
"false","","Cespedes Gonzalez 1685,Iquique","SHELL","657.0","Tarapacá","Petroleo Diesel","Thu Jun 24 10:12:28 PET 2021"
"false","","Manuel Rodrï¿½guez/Vivar 705,Iquique","SHELL","658.0","Tarapacá","Petroleo Diesel","Thu Jun 24 10:02:16 PET 2021"
"false","","VIVAR 402,Iquique","COPEC","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 07:20:57 PET 2021"
"false","","SITIO Nï¿½ 54-B, BARRIO INDUSTRIAL 54,Iquique","COPEC","660.0","Tarapacá","Petroleo Diesel","Wed Jun 23 23:40:25 PET 2021"
"false",""," Avda. Salvador Allende 2345,Iquique","COPEC","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 16:12:31 PET 2021"
"true","","Salvador Allende 2102,Iquique","COPEC","660.0","Tarapacá","Petroleo Diesel","Wed Jun 23 23:30:55 PET 2021"
"false","","ANIBAL PINTO 1377,Iquique","COPEC","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 07:12:44 PET 2021"
"true","","Avda. Arturo Prat Chacon 1732,Iquique","COPEC","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 09:02:23 PET 2021"
"false","","Av. Arturo Prat 3415,Iquique","PETROBRAS","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 10:31:28 PET 2021"
"false","","Av. Arturo Prat 1656,Iquique","PETROBRAS","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 07:55:51 PET 2021"
